ListingKey,FirstRecordedCreditLine,Occupation,AmountDelinquent,BorrowerRate,StatedMonthlyIncome,year
A28A3574589379454D19568,1985-06-21 00:00:00,Administrative Assistant,0.0,0.2419,6000.0,1985
C34D3406582170577F5B9FA,1993-03-13 00:00:00,Tradesman - Electrician,124.0,0.298,5000.0,1993
E3553583161337791FCB87F,2008-11-17 00:00:00,Accountant/CPA,0.0,0.2639,4333.333333,2008
66003595699013025669497,1998-01-02 00:00:00,Tradesman - Mechanic,0.0,0.1239,4583.333333,1998
073C3587842232896FA3CC5,1992-10-01 00:00:00,Accountant/CPA,182.0,0.1679,5066.666667,1992
77103507439195651112CD3,1988-08-01 00:00:00,Nurse (RN),0.0,0.2699,4833.333333,1988
1EE53395995482073F57B1E,1997-01-29 00:00:00,Skilled Labor,29997.0,0.2595,4250.0,1997
27223396963401965C3D72D,2006-11-21 00:00:00,Student - College Sophomore,0.0,0.19,1275.0,2006
F1E73599578583897739A91,1995-09-28 00:00:00,Military Enlisted,0.0,0.1875,6600.0,1995
A9533405861388647E94D58,1993-04-10 00:00:00,Clerical,661.0,0.35,2250.0,1993
B9323519850858218698E92,1993-09-14 00:00:00,Computer Programmer,0.0,0.149,5675.0,1993
83AF3397068023100622FDC,1977-11-10 00:00:00,Construction,996.0,0.2474,5745.083333,1977
B0C13549678423383EA4487,1987-06-01 00:00:00,Clerical,0.0,0.1768,5291.666667,1987
843A3419753238330DD424C,2002-10-11 00:00:00,Student - College Graduate Student,0.0,0.2595,0.0,2002
AF62359868794561997632B,2002-11-07 00:00:00,Skilled Labor,0.0,0.2474,2916.666667,2002
BEA43593794753349C48F34,1983-08-06 00:00:00,Tradesman - Mechanic,0.0,0.1099,5333.333333,1983
60F435925984046500B6127,1989-02-17 00:00:00,Truck Driver,0.0,0.1349,4583.333333,1989
1600339114801465455E118,1989-09-01 00:00:00,Skilled Labor,2188.0,0.3,5416.666667,1989
52D23488449280669BA2AB2,1989-03-23 00:00:00,Executive,0.0,0.092,14833.333333,1989
50FD3505480391203C94FE4,1981-08-01 00:00:00,Engineer - Mechanical,0.0,0.0655,3833.333333,1981
2D743590748186672FC1070,1989-07-14 00:00:00,Homemaker,0.0,0.166,6750.0,1989
0B323571136339092881128,1997-07-06 00:00:00,Attorney,0.0,0.1679,3750.0,1997
1EEB35929049628369AA30F,2006-04-05 00:00:00,Food Service Management,0.0,0.162,4166.666667,2006
D19E35715830805261F8DBA,2005-03-17 00:00:00,Analyst,135.0,0.1984,4833.333333,2005
27313549917414059DCA218,2004-08-30 00:00:00,Analyst,1839.0,0.287,8500.0,2004
DCCB3427692515724F02002,1985-11-01 00:00:00,Civil Service,0.0,0.2,7000.0,1985
C49C354345945335859E4A2,1978-06-02 00:00:00,Executive,0.0,0.0899,17500.0,1978
5787350898158036626BC0E,1998-09-14 00:00:00,Social Worker,0.0,0.2199,3000.0,1998
0A053596042008404939E79,2000-03-17 00:00:00,Postal Service,0.0,0.2304,6166.666667,2000
291E3397746085131D2FE25,1994-12-12 00:00:00,Tradesman - Electrician,0.0,0.105,3325.0,1994
07C83600768578992D42477,2008-09-16 00:00:00,Tradesman - Electrician,0.0,0.2624,3000.0,2008
2A4E3582448873568D1D220,1999-01-06 00:00:00,Sales - Retail,0.0,0.2024,6666.666667,1999
AA0D3531606198646286807,1992-12-01 00:00:00,Accountant/CPA,0.0,0.2574,2500.0,1992
A55E3470202528332636D82,2005-10-06 00:00:00,Analyst,0.0,0.227,3166.666667,2005
8C403536509302099517D3E,1995-05-01 00:00:00,Executive,0.0,0.0999,6166.666667,1995
0BA634177582343814714BB,1994-05-17 00:00:00,Nurse (LPN),309.0,0.186,2944.0,1994
45E43555427871642441DC8,2002-04-22 00:00:00,Teacher,0.0,0.3177,3866.666667,2002
A6663596912148281DD4135,1991-02-21 00:00:00,Administrative Assistant,0.0,0.093,4791.666667,1991
04BE3396478793818FD1609,1996-06-21 00:00:00,Computer Programmer,0.0,0.088,10000.0,1996
A4C43546589387991DC5C6C,1989-12-01 00:00:00,Tradesman - Electrician,0.0,0.222,4500.0,1989
FF7F3599537868365F3EA32,2003-10-19 00:00:00,Executive,0.0,0.1905,8583.333333,2003
E79E3532220773909C481BE,2007-09-18 00:00:00,Nurse (RN),0.0,0.1764,7500.0,2007
86C23417717976089C4612B,1991-06-01 00:00:00,Analyst,95.0,0.231,8058.333333,1991
B1073516753421349568C69,1998-10-26 00:00:00,Analyst,0.0,0.1329,4833.333333,1998
EC083528777437817816A7B,1993-02-16 00:00:00,Computer Programmer,0.0,0.0929,8350.333333,1993
63203601731298993B7012B,1987-11-01 00:00:00,Skilled Labor,0.0,0.099,4481.5,1987
070E3530935868739B2662B,1995-06-24 00:00:00,Administrative Assistant,16159.0,0.2574,3007.416667,1995
C64135861094652957B8F8C,1981-05-29 00:00:00,Administrative Assistant,0.0,0.1699,4683.333333,1981
404E35394280585697891D3,1995-05-25 00:00:00,Truck Driver,0.0,0.1845,2500.0,1995
62313569433204086B0E445,1989-06-01 00:00:00,Executive,0.0,0.1414,20833.333333,1989
CA113603538456543B0D5C2,1998-03-01 00:00:00,Teacher,0.0,0.1355,4000.0,1998
542835169223278040C28A3,2000-12-10 00:00:00,Sales - Commission,0.0,0.2699,3333.333333,2000
651D3516053083720D73433,2002-05-30 00:00:00,Analyst,91.0,0.2399,3750.0,2002
E3313397120969043DF3C36,2000-05-01 00:00:00,Laborer,0.0,0.23,1690.0,2000
4E6B35649656502994DB3AB,1998-05-26 00:00:00,Sales - Commission,0.0,0.1563,6500.0,1998
882D359922724242087BC07,1996-12-16 00:00:00,Accountant/CPA,0.0,0.184,5416.666667,1996
8684352540791230537A474,1994-06-01 00:00:00,Psychologist,0.0,0.2699,4583.333333,1994
CCB53535054580499229F0A,1992-09-23 00:00:00,Engineer - Mechanical,627.0,0.19,6916.666667,1992
0E1D3602259891122511DF0,1987-10-13 00:00:00,Food Service Management,0.0,0.1655,14500.0,1987
B5CC3600402099978061187,2001-05-01 00:00:00,Nurse (RN),0.0,0.215,4166.666667,2001
0C523382748926738840CE4,1994-12-29 00:00:00,Computer Programmer,0.0,0.1399,5816.666667,1994
497C3556610703798FAC28C,1999-09-30 00:00:00,Sales - Commission,0.0,0.3304,2391.666667,1999
579D359821746485009128E,2000-06-23 00:00:00,Retail Management,0.0,0.1099,3000.0,2000
DAF03592467456500039601,1990-03-01 00:00:00,Nurse (RN),0.0,0.1249,11666.666667,1990
F4543580542048486F3CD12,1986-10-17 00:00:00,Realtor,0.0,0.1819,2727.416667,1986
5C063392548232039DEB062,2002-09-30 00:00:00,Skilled Labor,0.0,0.143,3083.333333,2002
502C3600287548253FC9285,2000-06-09 00:00:00,Teacher,0.0,0.1875,6662.5,2000
32E33557667503106526DC4,1996-01-05 00:00:00,Principal,0.0,0.0839,7916.666667,1996
2F3B3580042048732941688,1986-01-30 00:00:00,Administrative Assistant,0.0,0.2566,3916.666667,1986
05FE3420563710567AC2B40,2006-07-01 00:00:00,Student - College Sophomore,0.0,0.19,178.0,2006
F9CF3421404987310E6EB36,1999-04-13 00:00:00,Medical Technician,2021.0,0.157,6666.666667,1999
3B533487213230312CD3C76,1990-11-01 00:00:00,Food Service,0.0,0.2725,3875.0,1990
C72535922428810635585AA,1997-10-20 00:00:00,Psychologist,0.0,0.162,6333.333333,1997
3B603604000208599AF6F99,1994-05-16 00:00:00,Bus Driver,0.0,0.1585,7916.666667,1994
595734865085609944A8031,2005-10-26 00:00:00,Laborer,0.0,0.27,1100.0,2005
D1BE35443745445502C47D6,1996-07-08 00:00:00,Attorney,0.0,0.127,19583.333333,1996
F5EB3578272490484B78703,1984-05-23 00:00:00,Sales - Commission,0.0,0.2346,6666.666667,1984
988D3398906536174706595,1989-05-18 00:00:00,Nurse (RN),4320.0,0.232,6749.916667,1989
C64935328636155282AC8EC,1988-09-01 00:00:00,Sales - Retail,0.0,0.3123,3083.333333,1988
5E893578179757086DB50D7,1971-03-01 00:00:00,Judge,0.0,0.1049,12333.333333,1971
008F3597754097570E75BC1,2003-03-14 00:00:00,Truck Driver,0.0,0.1585,4166.666667,2003
16143580150367818E64558,1998-07-07 00:00:00,Clerical,2008.0,0.2969,2583.333333,1998
FA643597201482320B10C4F,1996-12-01 00:00:00,Military Enlisted,0.0,0.2774,5000.0,1996
71F235808344285405EBC36,1995-08-28 00:00:00,Medical Technician,0.0,0.1699,4166.666667,1995
5E243410359330377867360,1996-01-24 00:00:00,Nurse (RN),0.0,0.13,5416.666667,1996
E45535966725575068B9C5D,1996-05-01 00:00:00,Executive,0.0,0.1765,6550.0,1996
DC6E3589917377354BF54F4,1991-09-16 00:00:00,Nurse (LPN),0.0,0.1915,4166.666667,1991
1E693601093528925289774,1994-09-03 00:00:00,Skilled Labor,0.0,0.0659,8916.666667,1994
9AE735831315205780D5A77,1999-09-02 00:00:00,Analyst,706.0,0.2272,7500.0,1999
FA9F3564867653547994DEF,1999-10-01 00:00:00,Computer Programmer,0.0,0.1679,6416.666667,1999
93A13584882127714256869,1991-09-01 00:00:00,Clerical,0.0,0.1474,3750.0,1991
61B73537726745851977A6A,1983-04-15 00:00:00,Executive,0.0,0.1396,12500.0,1983
51993427287101487FC934C,2000-09-18 00:00:00,Analyst,0.0,0.23,5980.333333,2000
ED293509589127604E4E5A8,1991-06-20 00:00:00,Doctor,0.0,0.096,4333.333333,1991
3849341405122987178DEF7,1995-02-01 00:00:00,Sales - Commission,0.0,0.124,11233.0,1995
3C8735936007986261CB586,1971-10-02 00:00:00,Sales - Commission,25.0,0.187,10666.666667,1971
28033594568633227B83CF7,1999-07-29 00:00:00,Teacher,0.0,0.18,3833.333333,1999
F76D3403919468424FFBF83,1994-08-26 00:00:00,Food Service Management,6652.0,0.23,3000.0,1994
DFB53421103431299502A77,1999-02-23 00:00:00,Analyst,0.0,0.095,5000.0,1999
F6C83585693901380B90B1E,1995-04-07 00:00:00,Police Officer/Correction Officer,0.0,0.1649,8333.333333,1995
E25A355446713635805367F,2008-10-24 00:00:00,Clerical,0.0,0.2969,1250.0,2008
5C74342902338613782F8B3,1986-08-01 00:00:00,Retail Management,1126.0,0.35,3583.333333,1986
D0B03569554851107B46DDA,1975-10-21 00:00:00,Administrative Assistant,0.0,0.1203,5833.333333,1975
279D3585076023212662756,1999-12-02 00:00:00,Fireman,0.0,0.2862,6000.0,1999
27F535792423429290231F7,2004-06-08 00:00:00,Accountant/CPA,0.0,0.2566,3033.333333,2004
01803415258942156EE3CFD,1998-10-08 00:00:00,Skilled Labor,0.0,0.142,2500.0,1998
E41F33862927816631492BB,1996-07-31 00:00:00,Clerical,0.0,0.29,2169.083333,1996
B9F336005047831516D66C4,1999-01-23 00:00:00,Nurse (RN),0.0,0.1725,5280.666667,1999
62A9356168918862418FFFE,2004-08-18 00:00:00,Pilot - Private/Commercial,0.0,0.3165,5416.666667,2004
25FB3599104916098690FE2,1984-12-01 00:00:00,Executive,0.0,0.0659,15166.666667,1984
2AAA358033327467902B9E8,1998-06-23 00:00:00,Accountant/CPA,4080.0,0.1979,3083.333333,1998
25433585735012253FEDE29,1988-08-01 00:00:00,Analyst,0.0,0.2209,10333.333333,1988
3E9E3578546815082AFF2FF,1994-04-27 00:00:00,Clerical,0.0,0.2969,3500.0,1994
A20A349555612309136C29B,2002-03-19 00:00:00,Military Enlisted,0.0,0.2575,1416.666667,2002
51B23420995728580F1BEA4,1993-09-20 00:00:00,Nurse (RN),0.0,0.2601,7500.0,1993
0A2D3511346917470C7657B,1983-05-01 00:00:00,Sales - Retail,0.0,0.089,4358.333333,1983
EF08354163157970127F3AE,1993-07-01 00:00:00,Computer Programmer,0.0,0.2293,7507.5,1993
054135228720612370A6741,2002-03-27 00:00:00,Computer Programmer,0.0,0.2199,3500.0,2002
01FB35595833543074BCF8E,1990-11-08 00:00:00,Clerical,0.0,0.1364,2333.333333,1990
D299339493260592574F9A3,1998-05-18 00:00:00,Executive,0.0,0.1627,3083.333333,1998
74223600600436549390D09,2006-02-19 00:00:00,Truck Driver,0.0,0.14,2833.333333,2006
F3B53582581670687934671,2003-07-19 00:00:00,Laborer,0.0,0.2359,3750.0,2003
FE6B3531879100001FE31CE,1998-01-29 00:00:00,Clerical,0.0,0.2574,2916.666667,1998
5EAA3388176305541F75930,2005-03-15 00:00:00,Construction,0.0,0.15,2333.333333,2005
B84F3414510365384668E9C,2005-12-02 00:00:00,Sales - Retail,0.0,0.35,1133.333333,2005
958335633828237301A0C2A,1991-05-24 00:00:00,Administrative Assistant,0.0,0.1797,2500.0,1991
1A293591478452452557346,2000-05-12 00:00:00,Retail Management,0.0,0.184,3583.333333,2000
83B8358993912839766D329,1994-06-06 00:00:00,Construction,0.0,0.1199,6500.0,1994
0BEE359423294465418B95B,2000-04-15 00:00:00,Construction,0.0,0.099,4583.333333,2000
79D836007255122650C9519,2006-08-22 00:00:00,Laborer,0.0,0.1274,2500.0,2006
052E3590251564011D71DF4,1998-08-25 00:00:00,Computer Programmer,0.0,0.0659,7916.666667,1998
7E663547602941613F90170,1988-08-24 00:00:00,Analyst,0.0,0.183,11250.0,1988
5BC33392349531717C049C0,1981-02-11 00:00:00,Civil Service,0.0,0.24,4117.25,1981
639835959075553830FFE66,1994-06-01 00:00:00,Teacher,0.0,0.3059,6250.0,1994
E333357971435202600F950,2003-10-26 00:00:00,Food Service Management,0.0,0.2049,2625.0,2003
FC623579571892019CEEA89,2003-12-20 00:00:00,Executive,0.0,0.2712,6666.666667,2003
A9C135941647610894D44A7,1998-02-01 00:00:00,Accountant/CPA,0.0,0.1039,5500.0,1998
23A43555892177280F06D86,1983-08-17 00:00:00,Executive,0.0,0.3177,6652.416667,1983
249B34201535870395760D7,2006-07-24 00:00:00,Food Service,0.0,0.143,833.333333,2006
0CBD3525980539326B04149,1983-10-17 00:00:00,Accountant/CPA,0.0,0.1029,5000.0,1983
0FB035630307976075A79AC,1999-02-05 00:00:00,Skilled Labor,436.0,0.2019,3333.333333,1999
DC6E3585828725285F85E00,1999-09-01 00:00:00,Engineer - Electrical,0.0,0.1509,7956.916667,1999
8A913584404730495509E27,1995-01-26 00:00:00,Nurse (LPN),75.0,0.2124,4583.333333,1995
FD9A3416215762467E1A5A5,1992-02-01 00:00:00,Laborer,0.0,0.1045,2166.666667,1992
3609360349002428966204F,1981-12-01 00:00:00,Retail Management,0.0,0.135,3666.666667,1981
ADD6351499722295117548E,1991-06-01 00:00:00,Computer Programmer,1935.0,0.1699,5250.0,1991
203C3589265937834B2D9DF,1990-09-24 00:00:00,Dentist,6540.0,0.1299,11798.75,1990
113435902787514397F1BA4,1994-10-14 00:00:00,Professor,0.0,0.105,9166.666667,1994
225435844839359563E4855,2000-06-05 00:00:00,Retail Management,1902.0,0.2179,6762.333333,2000
D8F93556091953512B56248,1999-09-28 00:00:00,Retail Management,0.0,0.2218,1666.666667,1999
D96D3596593722278F33A79,1997-12-01 00:00:00,Skilled Labor,0.0,0.0629,6208.333333,1997
2E7434704233805703A0913,1994-06-22 00:00:00,Skilled Labor,0.0,0.2645,3516.666667,1994
5CA73500572798170120400,2001-11-15 00:00:00,Computer Programmer,0.0,0.35,10000.0,2001
DBA934767785832798A0553,1994-02-01 00:00:00,Analyst,49.0,0.23,5583.333333,1994
7D593584250264631A952F6,1985-02-25 00:00:00,Administrative Assistant,0.0,0.1334,4333.333333,1985
766535650542478669C928A,1991-06-01 00:00:00,Analyst,162.0,0.2962,8249.083333,1991
CEF234570828785466AA130,1996-04-10 00:00:00,Postal Service,344.0,0.1599,4833.333333,1996
94383537376260201EEDC43,1986-07-02 00:00:00,Doctor,0.0,0.1449,7500.0,1986
8E6F3554212552291388589,1983-03-28 00:00:00,Police Officer/Correction Officer,0.0,0.1599,4916.666667,1983
143935880140608551BE42F,1996-10-03 00:00:00,Clerical,0.0,0.2999,2925.0,1996
BC5133969294904716FAF87,1998-11-19 00:00:00,Clerical,0.0,0.1445,1924.833333,1998
F60B35849472428947603BC,1995-09-01 00:00:00,Accountant/CPA,0.0,0.1089,8416.666667,1995
1E923547415829640EEEF96,1990-06-01 00:00:00,Military Enlisted,25512.0,0.3177,4166.666667,1990
C98A3544284830359B60D02,1994-04-29 00:00:00,Administrative Assistant,185.0,0.1874,4583.333333,1994
8B6B35833615098849EAB9F,1997-12-03 00:00:00,Engineer - Chemical,0.0,0.1299,9250.0,1997
7E273485928435623FA612C,1999-09-03 00:00:00,Principal,0.0,0.071,8333.333333,1999
07F9350903826788457498B,1994-05-17 00:00:00,Clerical,884.0,0.2699,3583.333333,1994
179435838620841255757E4,1994-02-01 00:00:00,Clerical,0.0,0.1519,4666.666667,1994
BAC1341300994712509BA2F,1995-04-03 00:00:00,Retail Management,0.0,0.208,4000.0,1995
7B843424639621913BAF300,2005-08-09 00:00:00,Waiter/Waitress,0.0,0.1075,2500.0,2005
8E013598964800179D2251B,1982-11-15 00:00:00,Accountant/CPA,0.0,0.1765,2773.333333,1982
21C035586169235745E2013,2001-03-05 00:00:00,Computer Programmer,0.0,0.271,5916.666667,2001
8A953595057176722BC2C8A,1980-10-22 00:00:00,Police Officer/Correction Officer,0.0,0.15,9166.666667,1980
3AA43589424074573EBE25F,1980-06-25 00:00:00,Executive,0.0,0.0766,7171.0,1980
6FBB3550019347211F8A745,2001-07-30 00:00:00,Laborer,0.0,0.127,7400.0,2001
37C836037485006544EB1BF,1982-09-01 00:00:00,Engineer - Mechanical,0.0,0.1159,3750.0,1982
C1F73591542820188AF9795,2002-01-18 00:00:00,Professor,0.0,0.187,4166.666667,2002
47633593795143101D5899C,1997-02-13 00:00:00,Construction,0.0,0.1299,6742.083333,1997
FEEC355338890860703509E,1999-05-04 00:00:00,Retail Management,0.0,0.2489,7916.666667,1999
047535595929768205D34AF,1998-07-21 00:00:00,Accountant/CPA,114.0,0.3177,2666.666667,1998
B92F3464860137149A23539,1996-04-08 00:00:00,Computer Programmer,0.0,0.2355,8958.333333,1996
52B435994905856415CD425,1991-02-22 00:00:00,Fireman,1327.0,0.184,10000.0,1991
5D403547738838234BCF119,1985-11-01 00:00:00,Nurse (RN),0.0,0.2499,7500.0,1985
049B35553826353584B1834,1983-11-01 00:00:00,Nurse (RN),0.0,0.3177,9166.666667,1983
DB05339566310964273525C,1975-01-01 00:00:00,Administrative Assistant,347.0,0.29,7000.0,1975
5F4B35367269513811EF4C9,2005-03-24 00:00:00,Tradesman - Plumber,0.0,0.1845,4166.666667,2005
287D35302807611130C942B,2007-11-29 00:00:00,Waiter/Waitress,0.0,0.2599,2000.0,2007
026235506380563299710ED,1980-06-01 00:00:00,Sales - Retail,0.0,0.1304,7666.666667,1980
F75A3585007601246005658,1988-12-01 00:00:00,Truck Driver,0.0,0.2932,4750.0,1988
EE1435875709618002FB8F4,2004-06-07 00:00:00,Police Officer/Correction Officer,0.0,0.2359,12500.0,2004
E9E53484012673207A3582B,1991-07-01 00:00:00,Analyst,0.0,0.35,7666.666667,1991
5E853575449457522CBA026,1998-06-26 00:00:00,Skilled Labor,0.0,0.1734,3448.0,1998
E5A235702262969304CE0EF,2004-05-20 00:00:00,Administrative Assistant,0.0,0.3134,1750.0,2004
04A23601490391917462641,2000-08-16 00:00:00,Dentist,0.0,0.184,5166.666667,2000
B786356807812069772A3DE,1994-08-30 00:00:00,Police Officer/Correction Officer,0.0,0.2049,5000.0,1994
90B935488976829302890C3,1997-12-27 00:00:00,Social Worker,0.0,0.287,5086.0,1997
14B53587931148397628DF5,1996-07-19 00:00:00,Accountant/CPA,0.0,0.2225,8750.0,1996
D17D3596176425107973594,1972-11-01 00:00:00,Executive,0.0,0.14,11666.666667,1972
329A3554078938718E04938,1999-02-12 00:00:00,Medical Technician,0.0,0.2039,5833.333333,1999
AB713587460831703D5F460,1988-03-14 00:00:00,Food Service,331.0,0.187,1984.0,1988
20AF3459452973157654DAE,1994-11-07 00:00:00,Postal Service,0.0,0.3485,3750.0,1994
BAE23426449489194F2E06C,2001-08-21 00:00:00,Postal Service,0.0,0.35,1711.666667,2001
6C983580678440868CEC75F,2000-07-31 00:00:00,Nurse (RN),0.0,0.1269,7000.0,2000
9068339214805713097ACA4,1997-11-08 00:00:00,Social Worker,1526.0,0.26,3335.416667,1997
67533503978577013FF0934,2000-10-11 00:00:00,Doctor,0.0,0.1055,18333.333333,2000
92033522594055857766088,1998-06-14 00:00:00,Military Officer,0.0,0.1029,9300.0,1998
9DC23545542115543B34B4F,2001-01-22 00:00:00,Sales - Retail,0.0,0.2489,4040.0,2001
B2803603493863821FD5E6A,1974-10-01 00:00:00,Executive,0.0,0.1159,5583.333333,1974
2D373546035682020E4CEEF,2002-05-28 00:00:00,Laborer,0.0,0.2489,1.666667,2002
79813600062817408FEB182,1999-04-08 00:00:00,Accountant/CPA,0.0,0.1274,6000.0,1999
07583596408209402A76F88,1979-02-06 00:00:00,Civil Service,0.0,0.099,9979.833333,1979
C67B3389011509555971F9D,2003-07-02 00:00:00,Laborer,0.0,0.1539,1661.833333,2003
FAB735940390143447B40E9,1995-10-23 00:00:00,Sales - Retail,0.0,0.2085,2500.0,1995
A64C3596323488163D0C45B,2000-05-12 00:00:00,Medical Technician,0.0,0.1314,4416.666667,2000
56533598072141498AF4ECD,2006-09-22 00:00:00,Engineer - Electrical,0.0,0.1585,10666.666667,2006
24803581142479100FFBE21,2006-08-30 00:00:00,Retail Management,0.0,0.1049,5833.333333,2006
EF563522796458361D947AB,1986-10-01 00:00:00,Nurse (RN),0.0,0.2669,7833.333333,1986
EE4235637840418593E270E,1990-04-05 00:00:00,Investor,0.0,0.3006,25133.333333,1990
748A3602213249291D3CC3E,2000-06-08 00:00:00,Architect,0.0,0.1905,16666.666667,2000
6CBE35917719906244D85AA,1997-10-23 00:00:00,Computer Programmer,0.0,0.155,7916.666667,1997
D0B43572303373222A3B765,1999-05-26 00:00:00,Sales - Retail,0.0,0.2916,4166.666667,1999
F0AE35815910254590F52F7,1989-02-06 00:00:00,Executive,0.0,0.0849,9166.666667,1989
EA4A33911589328483300C3,1993-07-21 00:00:00,Retail Management,0.0,0.14,3283.333333,1993
89673600904659065456078,1998-12-15 00:00:00,Doctor,0.0,0.201,16666.666667,1998
32003581925251696561EE9,1986-12-01 00:00:00,Clerical,0.0,0.2124,1900.0,1986
28ED3593368064831C0F5BC,1993-12-20 00:00:00,Food Service,0.0,0.18,1583.333333,1993
C62135575138480763B8322,1983-10-26 00:00:00,Executive,0.0,0.1774,14166.666667,1983
165C3507617156368C259F6,1968-08-31 00:00:00,Attorney,0.0,0.0655,12083.333333,1968
C0943468376140086B03F7E,1993-03-01 00:00:00,Sales - Commission,0.0,0.26,5166.666667,1993
80D2359822327387245CB69,2006-09-11 00:00:00,Laborer,0.0,0.1189,3250.0,2006
65F535174693807424623B5,1996-01-01 00:00:00,Accountant/CPA,2476.0,0.3099,4583.333333,1996
302E34143922771200C9DB1,1997-10-07 00:00:00,Construction,0.0,0.1045,3750.0,1997
B1093546821037961E5D0C8,1995-10-26 00:00:00,Teacher,0.0,0.3177,3750.0,1995
A72A34316318986803B6779,2005-04-05 00:00:00,Student - College Junior,0.0,0.15,2000.0,2005
FA4136013361200900CFFBB,1993-01-28 00:00:00,Social Worker,0.0,0.2394,8333.333333,1993
97DC35905077679302E1E60,1994-03-04 00:00:00,Skilled Labor,592.0,0.2045,3333.333333,1994
86B535370780393040C4513,1999-08-01 00:00:00,Tradesman - Mechanic,69.0,0.2049,2500.0,1999
DF1D348529547024729A873,2001-06-05 00:00:00,Attorney,0.0,0.35,8750.0,2001
8C073603262977099F47BEB,1985-04-01 00:00:00,Analyst,0.0,0.1274,11666.666667,1985
EDD43560576883556FFFD8F,1998-02-24 00:00:00,Engineer - Electrical,0.0,0.0961,7200.0,1998
6A0A3530065511735BD1DCC,2004-09-09 00:00:00,Food Service,0.0,0.3149,2250.0,2004
0BAB354411268493378F7F4,1974-05-10 00:00:00,Attorney,0.0,0.1396,9833.333333,1974
30A435471365652450E5B91,1995-03-01 00:00:00,Civil Service,0.0,0.3177,6291.666667,1995
3022342149427137979A950,2005-10-23 00:00:00,Construction,0.0,0.1443,5375.0,2005
FEA534069997449729A264A,1999-01-02 00:00:00,Food Service,0.0,0.15,1083.333333,1999
D59E359419115681431C66F,1995-03-29 00:00:00,Medical Technician,0.0,0.1199,3750.0,1995
9D5B3602746499773437139,1994-08-08 00:00:00,Tradesman - Electrician,431.0,0.2644,6000.0,1994
BC9D3385148890285A1AB96,1992-09-17 00:00:00,Teacher,3733.0,0.21,4026.25,1992
A45834812615786399C2F71,2004-09-24 00:00:00,Chemist,0.0,0.199,6250.0,2004
073733836055531230EF13B,2000-09-12 00:00:00,Student - College Graduate Student,0.0,0.2195,1505.0,2000
01373459448081095820088,2002-07-31 00:00:00,Analyst,0.0,0.2487,10000.0,2002
ECC93413691010085E933B7,1993-09-28 00:00:00,Food Service,19226.0,0.35,1000.0,1993
A9193415230993170485854,1999-03-30 00:00:00,Medical Technician,0.0,0.235,1200.0,1999
777C3594438133778931134,1998-06-19 00:00:00,Accountant/CPA,0.0,0.1099,5150.0,1998
E074358273969667376B5CF,2001-01-16 00:00:00,Executive,0.0,0.2272,7166.666667,2001
F2263561860691347B25C68,2008-01-25 00:00:00,Sales - Commission,0.0,0.2624,5250.0,2008
